ip,domain,spider_type
13.66.139.87,msnbot-13-66-139-87.search.msn.com,Bing
13.66.139.88,msnbot-13-66-139-88.search.msn.com,Bing
13.66.139.89,msnbot-13-66-139-89.search.msn.com,Bing
13.66.139.90,msnbot-13-66-139-90.search.msn.com,Bing
13.66.139.91,msnbot-13-66-139-91.search.msn.com,Bing
13.66.139.92,msnbot-13-66-139-92.search.msn.com,Bing
13.66.139.93,msnbot-13-66-139-93.search.msn.com,Bing
13.66.139.94,msnbot-13-66-139-94.search.msn.com,Bing
13.66.139.95,msnbot-13-66-139-95.search.msn.com,Bing
13.66.139.96,msnbot-13-66-139-96.search.msn.com,Bing
13.66.139.97,msnbot-13-66-139-97.search.msn.com,Bing
13.66.139.98,msnbot-13-66-139-98.search.msn.com,Bing
13.66.139.99,msnbot-13-66-139-99.search.msn.com,Bing
13.66.139.100,msnbot-13-66-139-100.search.msn.com,Bing
13.66.139.101,msnbot-13-66-139-101.search.msn.com,Bing
13.66.139.102,msnbot-13-66-139-102.search.msn.com,Bing
13.66.139.103,msnbot-13-66-139-103.search.msn.com,Bing
13.66.139.104,msnbot-13-66-139-104.search.msn.com,Bing
13.66.139.105,msnbot-13-66-139-105.search.msn.com,Bing
13.66.139.106,msnbot-13-66-139-106.search.msn.com,Bing
13.66.139.107,msnbot-13-66-139-107.search.msn.com,Bing
13.66.139.108,msnbot-13-66-139-108.search.msn.com,Bing
13.66.139.109,msnbot-13-66-139-109.search.msn.com,Bing
13.66.139.110,msnbot-13-66-139-110.search.msn.com,Bing
13.66.139.111,msnbot-13-66-139-111.search.msn.com,Bing
13.66.139.112,msnbot-13-66-139-112.search.msn.com,Bing
13.66.139.113,msnbot-13-66-139-113.search.msn.com,Bing
13.66.139.114,msnbot-13-66-139-114.search.msn.com,Bing
13.66.139.115,msnbot-13-66-139-115.search.msn.com,Bing
13.66.139.116,msnbot-13-66-139-116.search.msn.com,Bing
13.66.139.117,msnbot-13-66-139-117.search.msn.com,Bing
13.66.139.118,msnbot-13-66-139-118.search.msn.com,Bing
13.66.139.119,msnbot-13-66-139-119.search.msn.com,Bing
13.66.139.120,msnbot-13-66-139-120.search.msn.com,Bing
13.66.139.121,msnbot-13-66-139-121.search.msn.com,Bing
13.66.139.122,msnbot-13-66-139-122.search.msn.com,Bing
13.66.139.123,msnbot-13-66-139-123.search.msn.com,Bing
13.66.139.124,msnbot-13-66-139-124.search.msn.com,Bing
13.66.139.125,msnbot-13-66-139-125.search.msn.com,Bing
13.66.139.126,msnbot-13-66-139-126.search.msn.com,Bing
13.66.139.127,msnbot-13-66-139-127.search.msn.com,Bing
13.66.139.128,msnbot-13-66-139-128.search.msn.com,Bing
13.66.139.129,msnbot-13-66-139-129.search.msn.com,Bing
13.66.139.130,msnbot-13-66-139-130.search.msn.com,Bing
13.66.139.131,msnbot-13-66-139-131.search.msn.com,Bing
13.66.139.132,msnbot-13-66-139-132.search.msn.com,Bing
13.66.139.133,msnbot-13-66-139-133.search.msn.com,Bing
13.66.139.134,msnbot-13-66-139-134.search.msn.com,Bing
13.66.139.135,msnbot-13-66-139-135.search.msn.com,Bing
13.66.139.136,msnbot-13-66-139-136.search.msn.com,Bing
13.66.139.137,msnbot-13-66-139-137.search.msn.com,Bing
13.66.139.138,msnbot-13-66-139-138.search.msn.com,Bing
13.66.139.139,msnbot-13-66-139-139.search.msn.com,Bing
13.66.139.140,msnbot-13-66-139-140.search.msn.com,Bing
13.66.139.141,msnbot-13-66-139-141.search.msn.com,Bing
13.66.139.142,msnbot-13-66-139-142.search.msn.com,Bing
13.66.139.143,msnbot-13-66-139-143.search.msn.com,Bing
13.66.139.144,msnbot-13-66-139-144.search.msn.com,Bing
13.66.139.145,msnbot-13-66-139-145.search.msn.com,Bing
13.66.139.146,msnbot-13-66-139-146.search.msn.com,Bing
13.66.139.147,msnbot-13-66-139-147.search.msn.com,Bing
13.66.139.148,msnbot-13-66-139-148.search.msn.com,Bing
13.66.139.149,msnbot-13-66-139-149.search.msn.com,Bing
13.66.139.150,msnbot-13-66-139-150.search.msn.com,Bing
13.66.139.151,msnbot-13-66-139-151.search.msn.com,Bing
13.66.139.152,msnbot-13-66-139-152.search.msn.com,Bing
13.66.139.153,msnbot-13-66-139-153.search.msn.com,Bing
13.66.139.154,msnbot-13-66-139-154.search.msn.com,Bing
13.66.139.155,msnbot-13-66-139-155.search.msn.com,Bing
13.66.139.156,msnbot-13-66-139-156.search.msn.com,Bing
13.66.139.157,msnbot-13-66-139-157.search.msn.com,Bing
13.66.139.158,msnbot-13-66-139-158.search.msn.com,Bing
13.66.139.159,msnbot-13-66-139-159.search.msn.com,Bing
13.66.139.160,msnbot-13-66-139-160.search.msn.com,Bing
13.66.139.161,msnbot-13-66-139-161.search.msn.com,Bing
13.66.139.162,msnbot-13-66-139-162.search.msn.com,Bing
13.66.139.163,msnbot-13-66-139-163.search.msn.com,Bing
13.66.139.164,msnbot-13-66-139-164.search.msn.com,Bing
13.66.139.165,msnbot-13-66-139-165.search.msn.com,Bing
13.66.139.166,msnbot-13-66-139-166.search.msn.com,Bing
13.66.139.167,msnbot-13-66-139-167.search.msn.com,Bing
13.66.139.168,msnbot-13-66-139-168.search.msn.com,Bing
13.66.139.169,msnbot-13-66-139-169.search.msn.com,Bing
13.66.139.170,msnbot-13-66-139-170.search.msn.com,Bing
13.66.139.171,msnbot-13-66-139-171.search.msn.com,Bing
13.66.139.172,msnbot-13-66-139-172.search.msn.com,Bing
13.66.139.173,msnbot-13-66-139-173.search.msn.com,Bing
13.66.139.174,msnbot-13-66-139-174.search.msn.com,Bing
13.66.139.175,msnbot-13-66-139-175.search.msn.com,Bing
13.66.139.176,msnbot-13-66-139-176.search.msn.com,Bing
13.66.139.177,msnbot-13-66-139-177.search.msn.com,Bing
13.66.139.178,msnbot-13-66-139-178.search.msn.com,Bing
13.66.139.179,msnbot-13-66-139-179.search.msn.com,Bing
13.66.139.180,msnbot-13-66-139-180.search.msn.com,Bing
13.66.139.181,msnbot-13-66-139-181.search.msn.com,Bing
13.66.139.182,msnbot-13-66-139-182.search.msn.com,Bing
13.66.139.183,msnbot-13-66-139-183.search.msn.com,Bing
13.66.139.184,msnbot-13-66-139-184.search.msn.com,Bing
13.66.139.185,msnbot-13-66-139-185.search.msn.com,Bing
13.66.139.186,msnbot-13-66-139-186.search.msn.com,Bing
13.66.139.187,msnbot-13-66-139-187.search.msn.com,Bing
13.66.139.188,msnbot-13-66-139-188.search.msn.com,Bing
13.66.139.189,msnbot-13-66-139-189.search.msn.com,Bing
13.66.139.190,msnbot-13-66-139-190.search.msn.com,Bing
13.66.139.191,msnbot-13-66-139-191.search.msn.com,Bing
13.66.139.192,msnbot-13-66-139-192.search.msn.com,Bing
13.66.139.193,msnbot-13-66-139-193.search.msn.com,Bing
13.66.139.194,msnbot-13-66-139-194.search.msn.com,Bing
13.66.139.195,msnbot-13-66-139-195.search.msn.com,Bing
13.66.139.196,msnbot-13-66-139-196.search.msn.com,Bing
13.66.139.197,msnbot-13-66-139-197.search.msn.com,Bing
13.66.139.198,msnbot-13-66-139-198.search.msn.com,Bing
13.66.139.199,msnbot-13-66-139-199.search.msn.com,Bing
13.66.139.200,msnbot-13-66-139-200.search.msn.com,Bing
13.66.139.201,msnbot-13-66-139-201.search.msn.com,Bing
13.66.139.202,msnbot-13-66-139-202.search.msn.com,Bing
13.66.139.203,msnbot-13-66-139-203.search.msn.com,Bing
13.66.139.204,msnbot-13-66-139-204.search.msn.com,Bing
13.66.139.205,msnbot-13-66-139-205.search.msn.com,Bing
13.66.139.206,msnbot-13-66-139-206.search.msn.com,Bing
13.66.139.207,msnbot-13-66-139-207.search.msn.com,Bing
13.66.139.208,msnbot-13-66-139-208.search.msn.com,Bing
13.66.139.209,msnbot-13-66-139-209.search.msn.com,Bing
13.66.139.210,msnbot-13-66-139-210.search.msn.com,Bing
